step,agent_id,x,y,z,found_target
1,0,0.029991528,7.4675884,6.3377304,0
1,1,7.683149,7.5818963,0.43264014,0
1,2,8.477836,0.39867342,7.1663685,0
2,0,0.18828182,7.921003,6.048146,0
2,1,7.8928733,7.8822618,1.5551627,0
2,2,8.902999,0.7738364,6.9700575,0
3,0,0.45635805,8.112951,5.599146,0
3,1,8.086531,8.205331,2.666049,0
3,2,9.291674,1.1125115,6.681382,0
4,0,1.0281667,8.045357,5.482663,0
4,1,8.24091,8.580933,3.4773471,0
4,2,9.483127,1.5101006,6.333793,0
5,0,1.2382867,7.8865423,5.0419025,0
5,1,8.462215,8.742149,4.310095,0
5,2,9.871801,1.8487757,6.045118,0
6,0,1.6973399,7.9982257,5.3843584,0
6,1,8.734948,8.923029,5.072616,0
6,2,10.260476,2.187451,5.7564425,0
7,0,2.1754613,7.7407327,5.4960384,0
7,1,9.073841,9.061156,5.8561573,0
7,2,10.54761,2.5792465,5.443143,0
8,0,2.2112348,7.4716268,5.116504,0
8,1,8.876712,8.721305,5.9547987,0
8,2,10.6674795,3.0035439,5.112225,0
9,0,2.056336,7.4297976,4.1433225,0
9,1,8.683002,8.477596,6.2331333,0
9,2,10.795286,3.513771,5.3056617,0
10,0,1.9046857,7.3522177,3.1968136,0
10,1,8.425544,8.414135,5.902453,0
10,2,10.765753,3.905254,5.6471443,0
11,0,1.7919068,7.336184,2.1777573,0
11,1,8.057982,8.464206,5.725292,0
11,2,10.558717,4.120742,6.005394,0
12,0,1.6159624,7.2133937,1.2570498,0
12,1,7.7866454,8.664842,5.426265,0
12,2,10.346725,4.2958546,6.37554,0
13,0,1.4395757,7.160147,0.29715687,0
13,1,7.5679817,8.931421,5.107601,0
13,2,10.132058,4.4731083,6.742679,0
14,0,1.3625951,7.033575,0.0,0
14,1,7.3389783,9.164488,4.778598,0
14,2,9.896228,4.316226,7.0499544,0
15,0,1.2902682,6.9379697,0.0,0
15,1,7.0308537,9.34455,4.5206866,0
15,2,9.687995,4.1345663,7.368273,0
16,0,1.2262564,6.844553,0.0,0
16,1,6.8065834,9.539433,4.168752,0
16,2,9.463195,3.9486785,7.66637,0
17,0,1.1708782,6.781754,0.0,0
17,1,6.7760887,9.89904,3.7984629,0
17,2,9.296079,4.073218,8.082415,0
18,0,1.1265366,6.7008796,0.0,0
18,1,6.5616775,9.879725,3.4159174,0
18,2,9.284177,3.6510105,7.962006,0
19,0,1.0865594,6.60903,0.0,0
19,1,6.2846994,9.730799,3.1545448,0
19,2,9.610675,3.3860655,7.6465564,0
20,0,1.0347031,6.5445013,0.0,0
20,1,6.4772773,8.9680605,2.213124,0
20,2,10.021152,3.2853675,7.284763,0
21,0,1.0087295,6.5058556,0.0,0
21,1,6.6961565,8.190748,1.3416073,0
21,2,10.608667,3.306533,7.1775374,0
22,0,0.97593313,6.460387,0.0,0
22,1,6.8565173,7.55733,0.33434513,0
22,2,10.301035,3.5898,7.349067,0
23,0,1.3670717,6.8015256,0.28368402,0
23,1,7.0309167,6.865431,0.0,0
23,2,10.003773,3.9420207,7.3199987,0
24,0,1.8831482,7.112189,0.37820986,0
24,1,7.353087,6.2378,0.0,0
24,2,9.860687,4.4040613,7.17463,0
25,0,2.3706002,7.420039,0.56095046,0
25,1,7.7488003,5.553451,0.0,0
25,2,9.814416,4.7921476,6.836544,0
26,0,2.9538538,7.5952654,0.5889564,0
26,1,8.016725,4.884547,0.0,0
26,2,9.731241,5.2589636,6.6298766,0
27,0,3.3402169,7.8694844,0.93206286,0
27,1,8.257575,4.19854,0.0,0
27,2,9.548578,5.7209687,6.648668,0
28,0,3.7233381,7.7401333,1.3031095,0
28,1,8.48508,3.5788684,0.0,0
28,2,9.359903,6.0596437,6.937343,0
29,0,3.9186962,8.261774,2.5039806,0
29,1,8.248485,3.7818623,0.3365954,0
29,2,9.175842,6.4005985,7.2282977,0
30,0,3.9530065,8.749362,3.84043,0
30,1,8.05981,4.1205373,0.6252705,0
30,2,8.987167,6.7392735,7.516973,0
31,0,4.02998,9.2449255,5.168904,0
31,1,7.9270654,4.483451,0.93818426,0
31,2,8.818689,7.089346,7.813412,0
32,0,4.113811,9.742098,6.49532,0
32,1,7.7490716,4.913479,1.1064049,0
32,2,8.580823,7.4772124,7.960695,0
33,0,4.0759244,10.199543,7.7984014,0
33,1,7.5819993,5.2713223,1.396068,0
33,2,8.328861,7.879174,7.9133053,0
34,0,3.923578,10.717019,9.104962,0
34,1,8.656115,5.4995847,3.0994344,0
34,2,8.118876,8.23916,7.67285,0
35,0,3.7881575,11.225328,10.41786,0
35,1,9.67086,5.6606474,4.5692406,0
35,2,7.8661647,8.323643,7.3201385,0
36,0,3.6410148,11.689841,11.645001,0
36,1,10.773498,5.931512,6.045072,0
36,2,7.6571355,8.674625,7.067333,0
37,0,3.5118098,12.186739,12.950802,0
37,1,11.893929,6.1686954,7.4591413,0
37,2,7.410185,8.820806,6.7203827,0
38,0,3.327953,12.672705,14.1386175,0
38,1,13.022976,6.350526,8.828284,0
38,2,7.5577755,9.211557,6.357583,0
39,0,3.1483781,13.162951,15.0,0
39,1,14.0934305,6.481163,10.214217,0
39,2,7.73162,9.577238,5.976935,0
40,0,2.9849443,13.63849,15.0,0
40,1,15.0,6.617677,11.580423,0
40,2,7.981585,9.928461,5.607104,0
41,0,2.774999,13.364763,14.778336,0
41,1,15.0,6.6943226,12.978097,0
